springAngle[degree], load[N]
0, 4.27486
0, 4.13371
1, 7.6809
2, 11.906
3, 12.3818
4, 12.6231
5, 12.5454
5, 12.1161
7, 12.9864
8, 12.9294
9, 13.6909
10, 13.141
11, 13.2762
11, 13.6366
13, 13.913
14, 14.2006
15, 14.0555
16, 14.2844
17, 16.2608
18, 15.9531
19, 14.6452
19, 14.742
21, 15.8461
22, 15.4834
23, 15.4168
24, 16.5911
25, 15.4424
26, 16.003
27, 15.6326
28, 16.0117
29, 16.287
30, 16.4801
31, 17.501
31, 17.5908
33, 17.2246
34, 18.3062
35, 17.6852
36, 17.9093
37, 17.2533
38, 17.7266
39, 17.9745
39, 18.1402
40, 17.8553
42, 18.0106
42, 18.1633
44, 18.1662
45, 18.3212
46, 18.3818
47, 18.5217
47, 18.5006
48, 18.5278
49, 18.7108
50, 18.7629
52, 19.0575
53, 19.1801
53, 19.289
55, 19.3596
55, 19.949
56, 19.8672
57, 20.0922
59, 20.1455
60, 21.3691
61, 21.7715
62, 21.8551
63, 21.946
64, 22.2405
65, 22.565
66, 22.5027
66, 22.8937
68, 23.2272
69, 22.7673
70, 22.9347
71, 23.0982
72, 23.358
73, 23.5894
74, 23.7967
75, 24.0603
76, 24.2829
77, 24.4579
78, 24.7189
79, 24.8951
80, 25.1191
81, 25.2746
82, 25.4778
83, 25.6176
84, 25.7207
85, 25.8825
86, 26.0179
86, 26.0815
88, 26.2348
89, 26.1293
90, 26.3105
91, 26.0924
91, 26.0396
92, 26.0961
94, 26.2848
94, 26.4605
96, 27.2948
97, 27.5439
98, 27.6894
99, 27.8283
99, 27.9737
100, 28.0505
102, 28.1765
102, 28.4019
103, 28.4433
104, 28.6422
106, 28.7634
107, 29.0029
107, 29.1028
109, 29.2133
110, 29.3657
110, 29.5025
112, 29.5426
112, 29.7518
113, 29.8352
115, 29.9886
115, 30.0538
116, 24.953
118, 30.7574
118, 31.0382
120, 31.0341
120, 31.2652
121, 31.3916
123, 31.4952
124, 31.704
125, 31.8784
126, 32.0553
126, 32.3065
127, 32.3442
128, 32.5303
130, 32.7243
130, 33.0228
131, 33.1247
132, 33.375
133, 33.5853
135, 33.9156
135, 34.1324
137, 34.3256
137, 34.6167
139, 34.853
139, 35.18
140, 35.372
142, 35.6642
142, 36.0756
144, 36.2281
144, 36.6877
145, 36.8492
146, 37.2719
148, 37.6593
148, 37.8732
149, 38.1376
151, 38.5915
151, 38.7572
153, 38.9583
154, 39.2099
154, 39.7097
155, 39.5613
156, 39.8426
157, 40.0161
158, 40.2652
160, 40.1426
160, 40.9767
161, 40.9374
163, 41.0984
163, 41.35
164, 41.3467
166, 41.4831
167, 41.6299
167, 41.7558
168, 41.7512
169, 42.0569
170, 42.1346
171, 42.2944
172, 42.405
173, 42.5236
175, 42.6646
175, 42.7353
176, 42.9118
177, 43.0056
178, 43.1361
179, 43.1765
181, 43.3687
181, 43.4522
182, 43.6407
183, 43.9257
184, 44.021
185, 44.0448
186, 44.3088
188, 44.4126
189, 45.024
189, 45.0678
190, 44.9059
191, 45.1248
192, 45.1645
193, 45.4634
194, 45.5532
195, 45.9205
196, 45.5246
197, 46.053
198, 45.9542
199, 46.4582
200, 46.5375
201, 46.9432
202, 46.826
203, 47.2204
204, 47.3764
205, 47.5711
206, 47.8137
207, 48.2193
208, 48.0002
209, 48.413
210, 48.2433
211, 48.6525
212, 49.1889
213, 49.3319
214, 49.6267
215, 49.8334
216, 49.7808
217, 50.4956
218, 50.001
219, 50.3249
220, 50.7009
221, 51.009
222, 50.9884
223, 51.0701
224, 51.5319
225, 52.0981
226, 52.2829
227, 52.157
228, 52.2902
229, 52.6347
230, 52.6938
231, 52.9715
232, 53.2879
233, 53.5255
234, 53.7673
235, 53.9649
236, 54.2388
237, 54.3287
238, 54.5879
239, 54.8136
240, 54.8244
241, 55.106
242, 55.2281
243, 55.8345
244, 56.4219
245, 56.5286
246, 56.9053
247, 56.9902
248, 57.2591
249, 57.3332
250, 57.5262
251, 57.7356
252, 57.3449
253, 57.9533
254, 57.7976
255, 58.1388
256, 58.519
257, 58.6102
258, 58.8566
259, 58.7012
260, 59.0284
261, 58.915
262, 59.3586
263, 59.2271
264, 59.6847
265, 59.6642
266, 60.0278
267, 60.2001
268, 60.4593
269, 60.6142
270, 60.776
271, 60.9751
272, 61.0681
273, 61.3207
274, 61.4237
275, 61.6595
276, 61.829
277, 61.9782
278, 62.2448
279, 62.395
280, 62.6547
281, 62.839
282, 63.0278
283, 63.3822
284, 63.5231
285, 63.8482
286, 64.083
287, 64.3416
288, 64.6472
289, 64.8813
290, 65.2045
291, 65.5264
292, 65.832
293, 66.2504
294, 66.4396
295, 66.923
296, 67.1321
297, 67.5326
298, 67.8644
299, 68.0996
298, 66.8059
297, 65.7513
296, 65.3677
295, 65.1227
294, 65.055
293, 65.0614
292, 64.8337
291, 64.65
290, 64.6243
289, 64.4499
288, 64.1968
287, 64.3803
286, 64.4416
285, 64.3863
284, 64.112
283, 64.0828
282, 64.1181
281, 64.0145
280, 63.6928
279, 63.5577
278, 63.7005
277, 63.6722
276, 63.6064
275, 63.3636
274, 63.2377
273, 63.2856
272, 63.192
271, 63.138
270, 62.983
269, 62.8588
268, 62.7902
267, 62.6901
266, 62.554
265, 62.4281
264, 62.2333
263, 62.1204
262, 62.0044
261, 61.9604
260, 61.8892
260, 61.762
259, 61.6796
258, 61.5867
256, 61.5193
255, 61.4484
254, 61.2969
253, 61.1869
252, 61.115
251, 61.003
250, 60.9001
249, 60.8922
248, 60.7783
247, 60.6572
246, 60.559
245, 60.4569
244, 60.3795
243, 60.3027
242, 60.2314
241, 60.1345
241, 60.0187
239, 59.9671
238, 59.8707
237, 59.7856
236, 59.7165
235, 59.6011
234, 59.5061
233, 59.4064
233, 59.3779
231, 59.2389
230, 59.1194
229, 59.011
229, 58.8779
227, 58.8245
227, 58.6587
225, 58.5692
224, 58.4254
224, 58.284
222, 58.1545
222, 57.9748
221, 57.8079
220, 57.6641
219, 57.5171
218, 57.3058
217, 57.1125
216, 56.9132
215, 56.7122
214, 56.5129
212, 56.3003
212, 56.0894
211, 55.9076
209, 55.6823
208, 55.4349
207, 55.2433
207, 55.0035
205, 54.8721
205, 54.6258
203, 54.4648
203, 54.2047
202, 54.1078
201, 53.927
199, 53.7353
199, 53.5219
198, 53.3577
196, 53.2321
195, 53.073
195, 52.8397
194, 52.6857
193, 52.5602
192, 52.4577
191, 52.2762
189, 52.113
189, 51.93
188, 51.8033
186, 51.6653
185, 51.5405
185, 51.3939
183, 51.2661
182, 51.1817
181, 51.0387
181, 50.918
180, 50.8128
179, 50.7053
178, 50.602
177, 50.5254
176, 50.434
175, 50.349
174, 50.2135
173, 50.0751
171, 49.9758
170, 49.8757
170, 49.7285
168, 49.6337
167, 49.5291
167, 49.3678
166, 49.3026
165, 49.2109
164, 49.0842
163, 48.95
162, 48.8101
161, 48.6998
160, 48.5915
159, 48.4627
158, 48.3005
157, 48.1704
156, 48.029
155, 47.9145
154, 47.7196
153, 47.596
152, 47.3771
151, 47.2043
150, 47.0207
148, 46.8037
148, 46.6532
147, 46.4067
145, 46.157
145, 45.8798
144, 45.6242
143, 45.4488
142, 45.1393
141, 44.8153
140, 44.6134
139, 44.2385
138, 43.9842
137, 43.6491
136, 43.3317
135, 43.1166
134, 42.7099
133, 42.4752
131, 42.0827
131, 41.8757
129, 41.5175
129, 41.2325
128, 40.9241
127, 40.6638
126, 40.406
125, 40.0895
124, 39.8104
123, 39.5978
122, 39.3007
121, 39.1844
120, 38.8389
119, 38.648
118, 38.4314
117, 38.2594
116, 38.0679
115, 37.889
114, 37.6889
113, 37.4938
112, 37.3115
111, 37.2116
110, 37.0271
109, 36.8879
108, 36.7081
107, 36.5575
106, 36.3888
105, 36.2937
103, 36.1393
103, 36.0112
102, 35.8619
101, 35.7927
100, 35.663
99, 35.5841
98, 35.4396
97, 35.2798
96, 35.1807
94, 35.0663
93, 34.9446
93, 34.7521
92, 34.6514
91, 34.5911
89, 34.4408
89, 34.3575
88, 34.1682
86, 34.0522
86, 33.8997
85, 33.7691
84, 33.6308
83, 33.5245
82, 33.4514
81, 33.2943
80, 33.1359
79, 33.0116
78, 32.911
77, 32.8321
76, 32.6244
75, 31.8759
74, 31.7015
73, 31.4097
72, 31.2714
71, 30.9719
70, 30.7037
68, 30.542
68, 30.1153
67, 29.9552
66, 29.6841
65, 29.3002
64, 29.113
63, 28.7247
62, 28.562
61, 28.2122
60, 27.8244
59, 27.4756
58, 27.1834
57, 26.7704
56, 26.5829
55, 26.1402
54, 25.9316
53, 25.5466
52, 25.3976
50, 24.8298
50, 24.6991
49, 24.3795
48, 24.0831
47, 23.3682
46, 23.5066
45, 23.2245
44, 23.0508
43, 22.7053
42, 22.5777
41, 22.2779
40, 22.1438
39, 21.7393
38, 21.5119
37, 21.3944
36, 21.2184
35, 20.8704
34, 20.773
33, 20.1786
32, 20.3948
30, 20.3269
30, 20.122
29, 19.9193
28, 19.7606
27, 19.1071
25, 19.5183
25, 19.1967
24, 19.1471
23, 18.9207
22, 18.9687
21, 18.7031
20, 18.399
19, 18.4532
18, 18.2029
17, 18.3058
17, 17.9661
14, 17.7292
13, 17.7572
13, 17.5571
12, 17.5992
11, 17.3514
10, 16.8701
9, 16.9679
8, 16.8101
7, 16.6216
7, 16.089
5, 16.1499
4, 16.1545
3, 15.914
2, 15.4239
1, 15.4611
-1, 15.0668
-10, 10.109
-10, 6.46533
-10, 6.70748
-10, 6.73895
1, 14.0777
2, 15.1177
3, 15.3914
4, 15.665
5, 15.7518
6, 15.8409
7, 15.6217
7, 16.0862
9, 15.943
10, 16.4134
11, 16.3493
11, 16.711
13, 16.5268
14, 16.958
15, 16.9807
16, 16.9415
17, 17.1739
18, 17.3699
19, 17.4608
20, 17.7255
21, 17.5918
22, 17.8693
23, 17.8759
24, 17.9647
24, 18.2032
26, 18.4185
27, 18.4948
28, 18.6869
29, 18.5359
30, 18.8365
30, 18.9609
32, 19.2018
33, 19.1935
34, 19.254
35, 19.5745
35, 19.6584
37, 19.8639
38, 19.9369
39, 20.2452
40, 20.4061
41, 20.5038
42, 20.7537
43, 20.9006
44, 21.2653
45, 21.3696
46, 21.6016
47, 21.8675
48, 22.0355
49, 22.4201
50, 22.5782
51, 22.7941
52, 23.1703
53, 23.3554
54, 23.6757
55, 23.914
56, 24.226
57, 24.5344
58, 24.7902
59, 25.0939
60, 25.364
61, 25.662
61, 25.8909
62, 26.1487
64, 26.4365
65, 26.7352
65, 26.8923
66, 27.16
68, 27.4417
68, 27.6153
70, 27.9209
71, 28.1901
72, 28.3716
73, 28.6028
74, 28.7929
75, 28.9187
76, 29.1458
77, 29.2191
78, 29.4483
79, 29.3041
80, 29.3381
81, 29.41
82, 29.5447
83, 29.2503
84, 29.3883
85, 29.4391
86, 29.584
86, 30.3611
88, 30.6961
89, 30.8696
90, 30.9914
91, 31.1732
91, 31.2761
92, 31.3532
94, 31.3881
94, 31.555
95, 31.6398
96, 31.7584
98, 31.8576
98, 32.0105
100, 32.1091
101, 32.2012
102, 32.3072
103, 32.468
104, 32.557
105, 32.6577
106, 32.7655
107, 32.8696
108, 33.0038
109, 33.1311
109, 33.2163
110, 33.3233
112, 33.3855
113, 33.563
114, 33.6967
114, 33.8141
115, 33.8686
117, 34.0513
117, 34.2312
118, 34.3559
119, 34.4379
120, 34.5945
121, 34.7766
123, 34.9436
124, 35.1489
125, 35.356
126, 35.5302
127, 35.7479
128, 35.9475
129, 36.1681
130, 36.391
131, 36.6444
132, 36.8593
133, 37.141
134, 37.3669
135, 37.6512
135, 37.8993
137, 38.1623
137, 38.4312
139, 38.7367
140, 39.0102
141, 39.2855
142, 39.5834
143, 39.8705
144, 40.1516
145, 40.4161
146, 40.6954
147, 40.946
148, 41.224
149, 41.465
150, 41.6927
150, 41.9326
151, 42.055
152, 42.2787
154, 42.4744
154, 42.7243
156, 42.8791
157, 43.0998
158, 43.2676
159, 43.4394
160, 43.5899
161, 43.7643
161, 43.9377
163, 44.0057
163, 44.1893
164, 44.2656
166, 44.376
166, 44.5583
168, 44.6853
170, 44.825
171, 45.0072
171, 45.1322
172, 45.2592
174, 45.3249
175, 45.4626
175, 45.603
177, 45.6576
177, 45.7651
178, 45.8305
179, 45.9686
180, 46.081
181, 46.1895
182, 46.2504
183, 46.3787
184, 46.4679
185, 46.6008
186, 46.6943
188, 46.8089
189, 46.95
189, 47.1501
190, 47.2182
191, 47.3434
193, 47.4518
194, 47.6533
194, 47.7352
195, 47.8765
196, 47.9881
197, 48.1392
198, 48.3762
199, 48.5145
200, 48.6566
202, 48.7413
202, 49.0352
204, 49.1434
205, 49.4436
205, 49.7425
206, 49.7822
207, 49.9528
208, 50.1518
209, 50.3272
210, 50.572
212, 50.8164
212, 51.0205
214, 51.2197
214, 51.6068
215, 51.9017
216, 51.9472
217, 52.378
218, 52.4522
219, 52.8519
220, 53.0476
221, 53.3888
222, 53.5668
223, 53.837
224, 53.97
225, 54.125
226, 54.3382
227, 54.8324
228, 54.8403
229, 55.0392
230, 55.025
231, 55.3547
232, 55.774
233, 55.7372
234, 55.9831
235, 56.3375
237, 56.2697
237, 56.6615
238, 56.6861
239, 57.3677
240, 57.8042
241, 57.8614
242, 57.8979
243, 58.0308
244, 58.2635
245, 58.3944
246, 58.7545
247, 58.6864
248, 58.8415
249, 59.1687
250, 59.3276
251, 59.2077
252, 59.2784
253, 59.482
254, 59.8291
255, 59.8574
256, 59.8152
257, 59.8407
258, 60.2059
259, 60.2066
260, 60.4913
261, 60.4395
262, 60.6732
263, 61.0363
264, 60.9231
265, 60.9739
266, 61.3366
267, 61.4408
268, 61.673
269, 61.9294
270, 62.1177
271, 62.312
272, 62.4638
273, 62.6715
274, 62.8442
275, 63.034
276, 63.2336
277, 63.3967
278, 63.6333
279, 63.872
280, 64.0959
281, 64.3406
282, 64.5598
283, 64.8597
284, 65.1099
285, 65.3889
286, 65.6589
287, 65.9647
288, 66.2937
289, 66.545
290, 66.9205
291, 67.3106
292, 67.5852
293, 67.917
294, 68.1724
295, 68.5633
296, 68.8384
297, 69.0945
298, 69.4154
299, 69.6087
300, 69.9188
299, 68.845
298, 68.256
297, 67.6859
296, 67.3578
295, 66.9975
294, 66.7029
293, 66.5201
292, 66.2997
291, 66.2103
290, 66.149
289, 65.9414
288, 65.7821
287, 65.6233
286, 65.4829
285, 65.3391
284, 65.2749
283, 65.1151
282, 64.9735
281, 64.9295
280, 65.0251
279, 65.0436
278, 64.8271
277, 64.702
276, 64.5573
275, 64.3872
274, 64.2934
273, 64.2276
272, 64.2211
271, 64.128
270, 63.9607
269, 63.8823
268, 63.698
268, 63.6747
266, 63.5603
265, 63.3758
264, 63.1672
263, 63.0908
262, 63.0165
261, 62.9947
260, 62.896
259, 62.7688
258, 62.6678
257, 62.6118
256, 62.5149
255, 62.497
254, 62.3979
254, 62.2909
253, 62.2301
251, 62.131
250, 62.0308
249, 61.9057
248, 61.9126
247, 61.8382
247, 61.7388
245, 61.6565
245, 61.5395
243, 61.4823
242, 61.4049
241, 61.3061
240, 61.2625
239, 61.1289
238, 61.0384
237, 60.9739
237, 60.859
235, 60.7779
234, 60.6542
233, 60.555
232, 60.468
231, 60.3586
231, 60.2311
230, 60.1365
228, 60.1278
227, 59.9925
227, 59.7483
225, 59.613
225, 59.4272
223, 59.2912
222, 59.113
221, 58.958
221, 58.7926
219, 58.6387
219, 58.3628
217, 58.183
217, 57.9352
215, 57.7658
215, 57.4763
213, 57.3194
212, 57.0523
211, 56.7857
210, 56.5544
209, 56.3119
208, 56.0918
207, 55.8599
207, 55.6056
regression coefficients_displacement_force for polynomial of 1 degree:
13.5591	0.18392	
regression coefficients_displacement_force for polynomial of 1 degree:
-66.9452	5.2785	
